,game_id,date,aw_team,hm_team,hm_is_b2b,aw_is_b2b,home_total_goals,away_total_goals,home_total_shots,away_total_shots,hm_wins,away_xG,home_xG
189,2018020217.0,2018-11-06,DAL,CBJ,0,1,4,1,34,28,1,2.109,1.8058
190,2018020218.0,2018-11-06,NJD,OTT,0,1,7,3,42,39,1,3.4038,4.8298
191,2018020219.0,2018-11-06,VAN,DET,0,0,3,2,30,42,1,3.154,2.2734
192,2018020220.0,2018-11-06,EDM,TBL,0,1,5,2,35,35,1,3.1168,2.759
193,2018020221.0,2018-11-06,CAR,STL,0,0,4,1,20,39,1,3.7052,1.8718
194,2018020222.0,2018-11-06,ANA,LAK,0,0,4,1,27,31,1,2.1638,2.293
195,2018020224.0,2018-11-07,PIT,WSH,0,0,2,1,22,42,1,4.8912,2.511
196,2018020225.0,2018-11-07,NSH,COL,0,0,1,4,25,34,0,2.496,1.9524
197,2018020226.0,2018-11-07,CGY,ANA,1,0,3,2,24,39,1,2.168,1.0164
198,2018020227.0,2018-11-08,VAN,BOS,0,0,5,8,28,33,0,3.4188,3.4826
199,2018020228.0,2018-11-08,EDM,FLA,0,0,4,1,33,27,1,2.3102,2.4657999999999998
200,2018020229.0,2018-11-08,ARI,PHI,0,0,5,4,31,34,1,2.2056,3.1524
201,2018020230.0,2018-11-08,BUF,MTL,0,0,5,6,37,31,0,2.6872,3.168
202,2018020231.0,2018-11-08,VGK,OTT,0,0,3,5,30,42,0,1.9382000000000001,3.0836
203,2018020233.0,2018-11-08,CAR,CHI,0,0,3,4,38,34,0,3.9722,3.609
204,2018020234.0,2018-11-08,SJS,DAL,0,0,4,3,22,36,1,3.2328,3.0914
205,2018020235.0,2018-11-08,MIN,LAK,0,0,1,3,28,24,0,1.0664,2.0296
206,2018020236.0,2018-11-09,NJD,TOR,0,0,6,1,32,39,1,2.9392,4.4014
207,2018020237.0,2018-11-09,CBJ,WSH,0,0,1,2,34,36,0,2.12,2.746
208,2018020238.0,2018-11-09,NYR,DET,0,0,3,2,31,30,1,2.0196,3.117
209,2018020239.0,2018-11-09,SJS,STL,0,1,4,0,31,33,1,2.9215999999999998,3.7046
210,2018020240.0,2018-11-09,COL,WPG,0,0,5,2,24,30,1,2.6048,3.5794
211,2018020241.0,2018-11-09,MIN,ANA,0,1,1,5,21,43,0,4.311,0.6794
212,2018020243.0,2018-11-10,CHI,PHI,0,0,4,0,25,33,1,2.6388000000000003,1.9896
213,2018020244.0,2018-11-10,NSH,DAL,0,0,4,5,24,34,0,2.5747999999999998,2.1228
214,2018020245.0,2018-11-10,TOR,BOS,0,1,5,1,34,41,1,2.951,2.773
215,2018020246.0,2018-11-10,VGK,MTL,0,0,5,4,27,38,1,4.8184,3.5532
216,2018020247.0,2018-11-10,OTT,TBL,0,0,4,6,28,34,0,3.4164,3.1052
217,2018020248.0,2018-11-10,NYI,FLA,0,0,4,2,31,31,1,2.2936,1.5918
218,2018020249.0,2018-11-10,ARI,PIT,0,0,4,0,32,39,1,2.2912,2.8646
219,2018020250.0,2018-11-10,DET,CAR,0,1,3,4,52,32,0,2.353,4.4736
220,2018020252.0,2018-11-10,CGY,LAK,0,0,0,1,21,36,0,1.6116,1.3634
221,2018020253.0,2018-11-11,MIN,STL,0,0,2,3,31,18,0,1.3636,2.5712
222,2018020254.0,2018-11-11,OTT,FLA,1,1,5,1,40,35,1,2.6934,3.986
223,2018020255.0,2018-11-11,ARI,WSH,0,1,1,4,39,22,0,1.7852000000000001,2.8394
224,2018020256.0,2018-11-11,VGK,BOS,1,1,4,1,37,38,1,3.4446,3.2344
